p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
1.1013944487629867e-21	-2.402309812451441	0.226	0.88	2.1275636566754614e-17	Zeb2
1.1584094815109555e-21	-2.6207481491337443	0.375	0.98	2.2376995954347127e-17	Foxp2
1.2814262336001093e-21	4.530658237780869	0.875	0	2.4753310554453313e-17	Cnpy1
2.2903023166472215e-21	3.248739614001863	0.964	0.58	4.4241769850674375e-17	Id4
3.1395143325345776e-21	-2.4609608785867887	0.036	0.6	6.064599836157044e-17	P3h2
4.0658723666693984e-21	-1.8461589697027256	0.78	1	7.854045650695277e-17	B3galt1
5.002260703880142e-21	2.227465067865761	0.994	0.94	9.66286700168527e-17	Tmem158
6.691486163675492e-21	3.969931363904716	0.857	0	1.292594382237195e-16	Dsp
6.8771290320045e-21	1.9681108809792747	1	0.74	1.3284550151123092e-16	Ascl1
1.5572024585948456e-20	2.0342240456154896	0.988	0.76	3.0080479892676633e-16	Kcnk1
1.7756163221189702e-20	3.5724106189828593	0.857	0.04	3.429958049437215e-16	Tmem184a
2.4920767897894472e-20	-3.465905698647656	0.048	0.6	4.813944734836275e-16	Grm7
2.765202822720847e-20	3.3787289179720563	0.851	0.04	5.34154229264986e-16	Col18a1
2.83834820465951e-20	-2.3157672052118485	0.464	0.96	5.482837226940775e-16	Cald1
